"sub_num","list","practice","target","abs_order","order","onset","FP","LP","resp","score","phase","class","ls_order","resp_dur","RT","cond_list"
30,1,"T","ridge",21,6,3642076.76211863,3642077.05486879,3642078.44678562,"copper",1,"prac","np",6,1.39191683009267,1.49586169980466,1
30,1,"T","metal",22,7,3642078.84528841,3642079.71878183,3642080.39870019,"tail",1,"prac","np",7,0.679918359965086,2.66391303995624,1
30,1,"T","mattress",23,8,3642081.17847706,3642081.94262107,3642082.49458128,"tape",1,"prac","np",8,0.551960209850222,2.22383924014866,1
30,1,"T","trash",24,9,3642083.24496085,3642084.84642908,3642085.50238427,"pants",1,"prac","np",9,0.655955190304667,2.90380800981075,1
30,1,"T","feast",25,10,3642085.92809538,3642086.54232653,3642091.43803634,"photograph",1,"prac","np",10,4.89570980984718,1.69589745020494,1
30,1,"T","photograph",26,11,3642094.17749486,3642097.02176997,3642097.83766109,"ribbon",1,"prac","np",11,0.815891119651496,10.4794434402138,1
30,1,"T","pants",27,12,3642098.3105231,3642104.24533544,3642105.42922126,"shore",2,"prac","np",12,1.18388581974432,0,1
30,1,"T","dice",28,13,3642105.77667269,3642117.98852204,3642118.70845993,"trash",1,"prac","np",13,0.719937889836729,13.7431866000406,1
30,1,"T","copper",29,14,3642119.1590162,3642122.95623337,3642124.4600982,"mattress",1,"prac","np",14,1.50386482989416,4.96771132992581,1
30,1,"T","tail",30,15,3642124.79190138,3642139.77125095,3642140.69115516,"copper",2,"prac","np",15,0.919904209673405,0,1
30,1,"T","",NA,16,3642141.02404468,3642142.24305409,3642142.98703243,"metal",2,"prac","np",16,0.743978339713067,0,1
30,3,"T","wine",46,1,3642628.77162614,3642630.13451695,3642630.84642697,"bolt",1,"prac","np",1,0.711910019628704,1.36289081024006,2
30,3,"T","lobster",47,2,3642631.25478862,3642631.75037655,3642633.54226736,"hurricane",1,"prac","np",2,1.79189080977812,1.61585959978402,2
30,3,"T","satellite",48,3,3642633.9379313,3642634.39822177,3642635.43015969,"forest",1,"prac","np",3,1.03193792002276,2.64784521982074,2
30,3,"T","piano",49,4,3642635.90445125,3642636.47809963,3642637.54205758,"channel",1,"prac","np",4,1.06395794963464,2.07987786037847,2
30,3,"T","soil",50,5,3642638.17095991,3642639.74192278,3642640.90986484,"soil",1,"prac","np",5,1.16794206015766,3.26382314972579,2
30,3,"T","tooth",51,6,3642641.37070135,3642641.94178043,3642642.46174718,"wine",1,"prac","np",6,0.519966750405729,2.19985764985904,2
