subject,group,practice,other_type,timepoint,acc,n,chain,nplus,acc_plus,nneg,acc_neg
40,immediate,S,NA,2,1,15,3,NA,NA,NA,NA
40,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
40,immediate,T,NA,2,0.4,15,5,6,1,9,0
41,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
41,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
41,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
41,immediate,T,C,1,0.466666666666667,15,4,NA,NA,NA,NA
41,immediate,T,NA,1,0.4,15,5,NA,NA,NA,NA
41,immediate,C,T,2,0.6,15,1,7,0.714285714285714,8,0.5
41,immediate,C,NA,2,0.333333333333333,15,2,NA,NA,NA,NA
41,immediate,S,NA,2,0.6,15,3,NA,NA,NA,NA
41,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
41,immediate,T,NA,2,0.266666666666667,15,5,6,0.666666666666667,9,0
42,delay,C,T,1,NA,15,1,NA,NA,NA,NA
42,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
42,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
42,delay,T,C,1,0.666666666666667,15,4,NA,NA,NA,NA
42,delay,T,NA,1,0.4,15,5,NA,NA,NA,NA
42,delay,C,T,3,0.2,15,1,10,0.2,5,0.2
42,delay,C,NA,3,0.266666666666667,15,2,NA,NA,NA,NA
42,delay,S,NA,3,0.6,15,3,NA,NA,NA,NA
42,delay,T,C,3,NA,15,4,NA,NA,NA,NA
42,delay,T,NA,3,0.266666666666667,15,5,6,0.666666666666667,9,0
43,delay,C,T,1,NA,15,1,NA,NA,NA,NA
43,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
43,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
43,delay,T,C,1,0.533333333333333,15,4,NA,NA,NA,NA
43,delay,T,NA,1,0.533333333333333,15,5,NA,NA,NA,NA
43,delay,C,T,3,0.666666666666667,15,1,8,0.75,7,0.571428571428571
43,delay,C,NA,3,0.466666666666667,15,2,NA,NA,NA,NA
43,delay,S,NA,3,0.866666666666667,15,3,NA,NA,NA,NA
43,delay,T,C,3,NA,15,4,NA,NA,NA,NA
43,delay,T,NA,3,0.533333333333333,15,5,8,1,7,0
44,delay,C,T,1,NA,15,1,NA,NA,NA,NA
44,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
44,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
44,delay,T,C,1,0.4,15,4,NA,NA,NA,NA
44,delay,T,NA,1,0.266666666666667,15,5,NA,NA,NA,NA
44,delay,C,T,3,0,15,1,6,0,9,0
44,delay,C,NA,3,0.0666666666666667,15,2,NA,NA,NA,NA
44,delay,S,NA,3,0.133333333333333,15,3,NA,NA,NA,NA
44,delay,T,C,3,NA,15,4,NA,NA,NA,NA
44,delay,T,NA,3,0.2,15,5,4,0.75,11,0
45,delay,C,T,1,NA,15,1,NA,NA,NA,NA
45,delay,C,NA,1,NA,15,2,NA,NA,NA,NA
45,delay,S,NA,1,NA,15,3,NA,NA,NA,NA
45,delay,T,C,1,0.466666666666667,15,4,NA,NA,NA,NA
45,delay,T,NA,1,0.6,15,5,NA,NA,NA,NA
45,delay,C,T,3,0.333333333333333,15,1,7,0.571428571428571,8,0.125
45,delay,C,NA,3,0.266666666666667,15,2,NA,NA,NA,NA
45,delay,S,NA,3,0.533333333333333,15,3,NA,NA,NA,NA
45,delay,T,C,3,NA,15,4,NA,NA,NA,NA
45,delay,T,NA,3,0.6,15,5,9,1,6,0
47,immediate,C,T,1,NA,15,1,NA,NA,NA,NA
47,immediate,C,NA,1,NA,15,2,NA,NA,NA,NA
47,immediate,S,NA,1,NA,15,3,NA,NA,NA,NA
47,immediate,T,C,1,0.666666666666667,15,4,NA,NA,NA,NA
47,immediate,T,NA,1,0.733333333333333,15,5,NA,NA,NA,NA
47,immediate,C,T,2,0.8,15,1,10,0.9,5,0.6
47,immediate,C,NA,2,0.4,15,2,NA,NA,NA,NA
47,immediate,S,NA,2,0.8,15,3,NA,NA,NA,NA
47,immediate,T,C,2,NA,15,4,NA,NA,NA,NA
47,immediate,T,NA,2,0.666666666666667,15,5,11,0.909090909090909,4,0
