subject,group,practice,other_type,prac_acc,final_acc,n,chain,acc_plus,nplus,acc_neg,nneg,prac_and_final,prac_and_not_final,not_prac_and_final,not_prac_and_not_final
53,immediate,T,NA,0.266666666666667,0.266666666666667,15,5,1,4,0,11,0.266666666666667,0,0,0.733333333333333
54,immediate,C,T,NA,0.533333333333333,15,1,0.625,8,0.428571428571429,7,0.333333333333333,0.2,0.2,0.266666666666667
54,immediate,C,NA,NA,0.466666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
54,immediate,S,NA,NA,0.866666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
54,immediate,T,C,0.533333333333333,NA,15,4,NA,8,NA,7,NA,NA,NA,NA
54,immediate,T,NA,0.866666666666667,0.866666666666667,15,5,1,13,0,2,0.866666666666667,0,0,0.133333333333333
56,delay,C,T,NA,0.6,15,1,0.642857142857143,14,0,1,0.6,0.333333333333333,0,0.0666666666666667
56,delay,C,NA,NA,0.666666666666667,15,2,NA,NA,NA,NA,NA,NA,NA,NA
56,delay,S,NA,NA,0.8,15,3,NA,NA,NA,NA,NA,NA,NA,NA
56,delay,T,C,0.933333333333333,NA,15,4,NA,14,NA,1,NA,NA,NA,NA
56,delay,T,NA,0.933333333333333,0.866666666666667,15,5,0.928571428571429,14,0,1,0.866666666666667,0.0666666666666667,0,0.0666666666666667
57,delay,C,T,NA,0.2,15,1,0.333333333333333,6,0.111111111111111,9,0.133333333333333,0.266666666666667,0.0666666666666667,0.533333333333333
57,delay,C,NA,NA,0.2,15,2,NA,NA,NA,NA,NA,NA,NA,NA
57,delay,S,NA,NA,0.466666666666667,15,3,NA,NA,NA,NA,NA,NA,NA,NA
57,delay,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
57,delay,T,NA,0.6,0.6,15,5,1,9,0,6,0.6,0,0,0.4
58,immediate,C,T,NA,0.333333333333333,15,1,0.333333333333333,6,0.333333333333333,9,0.133333333333333,0.266666666666667,0.2,0.4
58,immediate,C,NA,NA,0.6,15,2,NA,NA,NA,NA,NA,NA,NA,NA
58,immediate,S,NA,NA,0.8,15,3,NA,NA,NA,NA,NA,NA,NA,NA
58,immediate,T,C,0.4,NA,15,4,NA,6,NA,9,NA,NA,NA,NA
58,immediate,T,NA,0.533333333333333,0.533333333333333,15,5,1,8,0,7,0.533333333333333,0,0,0.466666666666667
